cohort	segment_id	parent_segment_id	depth	oxygen_pct	data_ids	n_data_ids	duration_days	duration_source	initial_cells	final_cells
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	14	0	SUM-159_NLS_4N_O1_A13_seed;SUM-159_NLS_4N_O2_A13_seed	2	2	observed_median	694004.5	1659818.5
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	15	0	SUM-159_NLS_4N_O1_A14_seed;SUM-159_NLS_4N_O2_A14_seed	2	10	observed_median	455057.5	7010225
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	16	0	SUM-159_NLS_4N_O1_A15_seed;SUM-159_NLS_4N_O2_A15_seed	2	11	observed_median	455058	6361893.5
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	17	0	SUM-159_NLS_4N_O1_A16_seed;SUM-159_NLS_4N_O2_A16_seed	2	14	observed_median	372623.5	7820083
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	18	0	SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed	2	5	observed_median	832694	6134086
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	19	0	SUM-159_NLS_4N_O1_A18_seed;SUM-159_NLS_4N_O2_A18_seed	2	5	observed_median	606000.5	4226966.5
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20	0	SUM-159_NLS_4N_O1_A19_seed;SUM-159_NLS_4N_O2_A19_seed	2	6	observed_median	618811.5	4534979.5
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	21	0	SUM-159_NLS_4N_O1_A20_seed;SUM-159_NLS_4N_O2_A20_seed	2	3	observed_median	896747.5	4687593.5
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	22	0	SUM-159_NLS_4N_O1_A21_seed;SUM-159_NLS_4N_O2_A21_seed	2	5	observed_median	642762	7477350.5
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	23	0	SUM-159_NLS_4N_O1_A22_seed;SUM-159_NLS_4N_O2_A22_seed	2	5	observed_median	588734	7100456.5
