cohort	segment_id	passage_id	sample_name	oxygen_pct	cumulative_end_day	grid_index	ploidy	density	log_density
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	133	5.80653266331658	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	134	5.84673366834171	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	135	5.88693467336683	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	136	5.92713567839196	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	137	5.96733668341709	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	138	6.00753768844221	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	139	6.04773869346734	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	140	6.08793969849246	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	141	6.12814070351759	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	142	6.16834170854271	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	143	6.20854271356784	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	144	6.24874371859296	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	145	6.28894472361809	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	146	6.32914572864322	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	147	6.36934673366834	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	148	6.40954773869347	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	149	6.44974874371859	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	150	6.48994974874372	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	151	6.53015075376884	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	152	6.57035175879397	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	153	6.6105527638191	9.99314769973045e-13	-27.6317065808329
