id,cellLine,passaged_from_id1,passage_id,passage,adjPass,date,num_date,correctedCount,label_value,sublabel_value,oxygen_pct,g,intercept
SUM-159_NLS_2N_O2_A10_seed,SUM-159,SUM-159_NLS_2N_O2_A9_seedT3,SUM-159_NLS_2N_O2_A10_seed,15,10,2025-05-23,0,675067,2N,"starvation
line 2",0,0.459209606978143,708921.901260056
SUM-159_NLS_2N_O2_A10_seedT1,SUM-159,SUM-159_NLS_2N_O2_A10_seed,SUM-159_NLS_2N_O2_A10_seed,15,10,2025-05-26,3,3177048,2N,"starvation
line 2",0,0.459209606978143,708921.901260056
SUM-159_NLS_2N_O2_A10_seedT2,SUM-159,SUM-159_NLS_2N_O2_A10_seed,SUM-159_NLS_2N_O2_A10_seed,15,10,2025-05-28,5,6544585,2N,"starvation
line 2",0,0.459209606978143,708921.901260056
SUM-159_NLS_2N_O2_A11_seed,SUM-159,SUM-159_NLS_2N_O2_A10_seedT2,SUM-159_NLS_2N_O2_A11_seed,16,11,2025-05-30,0,520225,2N,"starvation
line 2",0,0.477939108571687,518402.353231474
SUM-159_NLS_2N_O2_A11_seedT1,SUM-159,SUM-159_NLS_2N_O2_A11_seed,SUM-159_NLS_2N_O2_A11_seed,16,11,2025-06-02,3,2155536,2N,"starvation
line 2",0,0.477939108571687,518402.353231474
SUM-159_NLS_2N_O2_A11_seedT2,SUM-159,SUM-159_NLS_2N_O2_A11_seed,SUM-159_NLS_2N_O2_A11_seed,16,11,2025-06-04,5,5685713,2N,"starvation
line 2",0,0.477939108571687,518402.353231474
SUM-159_NLS_2N_O2_A12_seed,SUM-159,SUM-159_NLS_2N_O2_A11_seedT2,SUM-159_NLS_2N_O2_A12_seed,17,12,2025-06-06,0,364269,2N,"starvation
line 2",0,0.43743905615452,363340.203293676
SUM-159_NLS_2N_O2_A12_seedT1,SUM-159,SUM-159_NLS_2N_O2_A12_seed,SUM-159_NLS_2N_O2_A12_seed,17,12,2025-06-09,3,1252104,2N,"starvation
line 2",0,0.43743905615452,363340.203293676
SUM-159_NLS_2N_O2_A12_seedT2,SUM-159,SUM-159_NLS_2N_O2_A12_seed,SUM-159_NLS_2N_O2_A12_seed,17,12,2025-06-11,5,3728464,2N,"starvation
line 2",0,0.43743905615452,363340.203293676
SUM-159_NLS_2N_O2_A12_seedT3,SUM-159,SUM-159_NLS_2N_O2_A12_seed,SUM-159_NLS_2N_O2_A12_seed,17,12,2025-06-13,7,7249729,2N,"starvation
line 2",0,0.43743905615452,363340.203293676
SUM-159_NLS_2N_O2_A13_seed,SUM-159,SUM-159_NLS_2N_O2_A12_seedT3,SUM-159_NLS_2N_O2_A13_seed,18,13,2025-06-14,0,563670,2N,"starvation
line 2",0,0.455260826116619,537349.146544022
SUM-159_NLS_2N_O2_A13_seedT1,SUM-159,SUM-159_NLS_2N_O2_A13_seed,SUM-159_NLS_2N_O2_A13_seed,18,13,2025-06-16,2,1243193,2N,"starvation
line 2",0,0.455260826116619,537349.146544022
SUM-159_NLS_2N_O2_A13_seedT3,SUM-159,SUM-159_NLS_2N_O2_A13_seed,SUM-159_NLS_2N_O2_A13_seed,18,13,2025-06-20,6,8451705,2N,"starvation
line 2",0,0.455260826116619,537349.146544022
SUM-159_NLS_2N_O2_A14_seed,SUM-159,SUM-159_NLS_2N_O2_A13_seedT3,SUM-159_NLS_2N_O2_A14_seed,19,14,2025-06-25,0,455615,2N,"starvation
line 2",0,0.398345550086726,428209.118544219
SUM-159_NLS_2N_O2_A14_seedT1,SUM-159,SUM-159_NLS_2N_O2_A14_seed,SUM-159_NLS_2N_O2_A14_seed,19,14,2025-06-27,2,796490,2N,"starvation
line 2",0,0.398345550086726,428209.118544219
SUM-159_NLS_2N_O2_A14_seedT2,SUM-159,SUM-159_NLS_2N_O2_A14_seed,SUM-159_NLS_2N_O2_A14_seed,19,14,2025-06-30,5,3922295,2N,"starvation
line 2",0,0.398345550086726,428209.118544219
SUM-159_NLS_2N_O2_A14_seedT3,SUM-159,SUM-159_NLS_2N_O2_A14_seed,SUM-159_NLS_2N_O2_A14_seed,19,14,2025-07-02,7,6241585,2N,"starvation
line 2",0,0.398345550086726,428209.118544219
SUM-159_NLS_2N_O2_A15_seed,SUM-159,SUM-159_NLS_2N_O2_A14_seedT3,SUM-159_NLS_2N_O2_A15_seed,20,15,2025-07-05,0,915685,2N,"starvation
line 2",0,0.47844219096022,959463.15585047
SUM-159_NLS_2N_O2_A15_seedT1,SUM-159,SUM-159_NLS_2N_O2_A15_seed,SUM-159_NLS_2N_O2_A15_seed,20,15,2025-07-07,2,2742599,2N,"starvation
line 2",0,0.47844219096022,959463.15585047
