solution	objective	context	oxygen_pct	cohort	N_ref	current_N_min	current_N_max	expanded_N_min	expanded_N_max	current_misseg_nonviable_rate	expanded_misseg_nonviable_rate	current_boundary_dropped_rate	expanded_boundary_dropped_rate	upper_truncation_rate_removed	current_boundary_share	expanded_boundary_share	upper_truncation_share_of_current_cin_loss
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9223744292237	5N	110	22	154	22	308	0.143629365418066	0.143629365418066	4.06353346938605e-05	0	4.06353346938605e-05	0.000282837993185435	0	0.000282837993185435
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9285250950734	5N	110	22	154	22	308	0.14322708491667	0.14322708491667	4.06393770470222e-05	0	4.06393770470222e-05	0.000283660379526279	0	0.000283660379526279
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.94	5N	110	22	154	22	308	0.14247677049705	0.14247677049705	4.06468252625918e-05	0	4.06468252625918e-05	0.000285206019210033	0	0.000285206019210033
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9452054794521	5N	110	22	154	22	308	0.142136500113387	0.142136500113387	4.06501645227493e-05	0	4.06501645227493e-05	0.000285912078300145	0	0.000285912078300145
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9512885555671	5N	110	22	154	22	308	0.141738959040886	0.141738959040886	4.06540358799976e-05	0	4.06540358799976e-05	0.000286741055344717	0	0.000286741055344717
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.96	5N	110	22	154	22	308	0.141169852795592	0.141169852795592	4.06595226869649e-05	0	4.06595226869649e-05	0.000287935522784033	0	0.000287935522784033
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9604303759781	5N	110	22	154	22	308	0.141141743726435	0.141141743726435	4.06597920210396e-05	0	4.06597920210396e-05	0.000287994757191709	0	0.000287994757191709
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9680365296804	5N	110	22	154	22	308	0.140645079539058	0.140645079539058	4.066452536103e-05	0	4.066452536103e-05	0.000289045102838636	0	0.000289045102838636
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9740520160608	5N	110	22	154	22	308	0.140252446170126	0.140252446170126	4.06682333489797e-05	0	4.06682333489797e-05	0.000289880465779812	0	0.000289880465779812
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.98	5N	110	22	154	22	308	0.139864374014906	0.139864374014906	4.06718692639033e-05	0	4.06718692639033e-05	0.000290710524462258	0	0.000290710524462258
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9908675799087	5N	110	22	154	22	308	0.139155762326616	0.139155762326616	4.06784352274132e-05	0	4.06784352274132e-05	0.000292237610421458	0	0.000292237610421458
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9968154765545	5N	110	22	154	22	308	0.138768193422992	0.138768193422992	4.06819870965609e-05	0	4.06819870965609e-05	0.000293079149127694	0	0.000293079149127694
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3	5N	110	22	154	22	308	0.138560768117122	0.138560768117122	4.06838767830645e-05	0	4.06838767830645e-05	0.000293531389446435	0	0.000293531389446435
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.013698630137	5N	110	22	154	22	308	0.137669186652953	0.137669186652953	4.06919113317594e-05	0	4.06919113317594e-05	0.000295490140257177	0	0.000295490140257177
