r_package	consumer_path	dependency	resolved_path	status	rpm_owner
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libz.so.1	/app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1	resolved	file /app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	librt.so.1	/lib64/librt.so.1	resolved	glibc-2.28-251.el8_10.25.x86_64
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libdl.so.2	/lib64/libdl.so.2	resolved	glibc-2.28-251.el8_10.25.x86_64
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libpthread.so.0	/lib64/libpthread.so.0	resolved	glibc-2.28-251.el8_10.25.x86_64
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libiconv.so.2	/app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2	resolved	file /app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libicuuc.so.75	/app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75	resolved	file /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libicui18n.so.75	/app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75	resolved	file /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libgomp.so.1	/app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	ld-linux-x86-64.so.2	/lib64/ld-linux-x86-64.so.2	resolved	glibc-2.28-251.el8_10.25.x86_64
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libquadmath.so.0	/app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libgcc_s.so.1	/app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libncurses.so.6	/app/eb/software/ncurses/6.5-GCCcore-13.3.0/lib/libncurses.so.6	resolved	file /app/eb/software/ncurses/6.5-GCCcore-13.3.0/lib/libncurses.so.6 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libicudata.so.75	/app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicudata.so.75	resolved	file /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicudata.so.75 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libstdc++.so.6	/app/eb/software/GCCcore/13.3.0/lib64/libstdc++.so.6	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libstdc++.so.6 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	linux-vdso.so.1		resolved	NA
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libcurl.so.4	/app/eb/software/cURL/8.7.1-GCCcore-13.3.0/lib/libcurl.so.4	resolved	file /app/eb/software/cURL/8.7.1-GCCcore-13.3.0/lib/libcurl.so.4 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libR.so	/app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so	resolved	file /app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libc.so.6	/lib64/libc.so.6	resolved	glibc-2.28-251.el8_10.25.x86_64
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libssl.so.3	/app/eb/software/OpenSSL/3/lib/libssl.so.3	resolved	file /app/eb/software/OpenSSL/3/lib/libssl.so.3 is not owned by any package
