component,value,pair,seed,objective
joint_soft_coupling_penalty__buffer_smax,0.00832083285571834,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__buffer_beta,0.0799979309024133,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__buffer_n_exp,0.0780375052860469,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__n_O,0.0370278607812793,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__alpha_o2,0.0789574849485693,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__gamma_growth,0.0799999999999048,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__lam_max,0.0799813021556847,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__p_mis_base,0.08,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__p_wgd,0.0799999999999933,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__gamma_mu,0.0799999999999993,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_joint,19.7913140832613,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_joint_unpenalized,18.864044083719,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_soft_coupling,0.927269999542306,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_constraints,0,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_enabled,TRUE,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_n_params,14,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_welsch_c,0.4,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
weight_invivo,1,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
weight_invitro,1,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_invivo,14.9902811900996,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_invivo_data,14.0943258439387,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_invivo_prior,0.89595534616091,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_invivo_burden,7.97130611437333,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_invivo_ploidy,4.83604580141328,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_invivo_necrosis,1.2869739281521,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_invivo_necrosis_raw,1.2869739281521,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_invitro,3.87376289361937,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_growth_loglik,0.168263754428324,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_ploidy_loglik,-3.11169994287891,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_flow_loglik,-0.930326705168778,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
