ipcalc	0	0.2.4	4.el8	x86_64
iproute	0	6.2.0	6.el8_10	x86_64
iprutils	0	2.4.19	1.el8	x86_64
ipset	0	7.1	1.el8	x86_64
ipset-libs	0	7.1	1.el8	x86_64
iptables	0	1.8.5	11.el8_9	x86_64
iptables-ebtables	0	1.8.5	11.el8_9	x86_64
iptables-libs	0	1.8.5	11.el8_9	x86_64
iputils	0	20180629	11.el8	x86_64
irqbalance	2	1.9.2	1.el8	x86_64
isl	0	0.16.1	6.el8	x86_64
jansi	0	1.17.1	1.module+el8+2477+516cbbff	noarch
jansi-native	0	1.7	7.module+el8+2452+b359bfcd	x86_64
jansson	0	2.14	1.el8	x86_64
jasper-libs	0	2.0.14	6.el8_10	x86_64
java-1.8.0-openjdk	1	1.8.0.462.b08	2.el8	x86_64
java-1.8.0-openjdk-headless	1	1.8.0.462.b08	2.el8	x86_64
javapackages-filesystem	0	5.3.0	1.module+el8+2447+6f56d9a6	noarch
javapackages-tools	0	5.3.0	1.module+el8+2447+6f56d9a6	noarch
jbig2dec-libs	0	0.16	1.el8	x86_64
jbigkit-libs	0	2.1	14.el8	x86_64
jline	0	2.14.6	2.module+el8+2477+516cbbff	noarch
jna	0	4.5.1	5.el8	x86_64
jq	0	1.6	11.el8_10	x86_64
json-c	0	0.13.1	3.el8	x86_64
json-glib	0	1.4.4	1.el8	x86_64
kbd	0	2.0.4	11.el8	x86_64
kbd-legacy	0	2.0.4	11.el8	noarch
kbd-misc	0	2.0.4	11.el8	noarch
kernel	0	4.18.0	240.el8	x86_64
kernel	0	4.18.0	553.70.1.el8_10	x86_64
kernel-core	0	4.18.0	240.el8	x86_64
kernel-core	0	4.18.0	553.70.1.el8_10	x86_64
kernel-devel	0	4.18.0	240.el8	x86_64
kernel-devel	0	4.18.0	553.70.1.el8_10	x86_64
kernel-headers	0	4.18.0	553.70.1.el8_10	x86_64
kernel-modules	0	4.18.0	240.el8	x86_64
kernel-modules	0	4.18.0	553.70.1.el8_10	x86_64
kernel-modules-extra	0	4.18.0	240.el8	x86_64
kernel-modules-extra	0	4.18.0	553.70.1.el8_10	x86_64
kernel-tools	0	4.18.0	553.70.1.el8_10	x86_64
kernel-tools-libs	0	4.18.0	553.70.1.el8_10	x86_64
kexec-tools	0	2.0.26	14.el8_10.2	x86_64
keyutils	0	1.5.10	9.el8	x86_64
keyutils-libs	0	1.5.10	9.el8	i686
keyutils-libs	0	1.5.10	9.el8	x86_64
keyutils-libs-devel	0	1.5.10	9.el8	x86_64
kmod	0	25	20.el8	x86_64
kmod-i40e	0	2.13.10.11	201130	x86_64
kmod-ice	0	1.3.2	210111	x86_64
kmod-igb	0	5.4.6	201130	x86_64
kmod-ixgbe	0	5.9.4	201130	x86_64
kmod-libs	0	25	20.el8	x86_64
kmod-tg3	0	3.139b	1.rhel8u3	x86_64
kpartx	0	0.8.4	42.el8_10	x86_64
krb5-devel	0	1.18.2	32.el8_10	x86_64
krb5-libs	0	1.18.2	32.el8_10	i686
krb5-libs	0	1.18.2	32.el8_10	x86_64
ksh	0	20120801	267.el8	x86_64
langpacks-en	0	1.0	12.el8	noarch
lbnl-nhc	0	1.4.3	1.el8	noarch
lcms2	0	2.9	2.el8	x86_64
less	0	530	3.el8_10	x86_64
libICE	0	1.0.9	15.el8	x86_64
libICE-devel	0	1.0.9	15.el8	x86_64
libSM	0	1.2.3	1.el8	x86_64
libSM-devel	0	1.2.3	1.el8	x86_64
libX11	0	1.6.8	9.el8_10	i686
libX11	0	1.6.8	9.el8_10	x86_64
libX11-common	0	1.6.8	9.el8_10	noarch
libX11-devel	0	1.6.8	9.el8_10	x86_64
libX11-xcb	0	1.6.8	9.el8_10	i686
libX11-xcb	0	1.6.8	9.el8_10	x86_64
libXScrnSaver	0	1.2.3	1.el8	x86_64
libXau	0	1.0.9	3.el8	i686
libXau	0	1.0.9	3.el8	x86_64
libXau-devel	0	1.0.9	3.el8	x86_64
libXaw	0	1.0.13	10.el8	x86_64
libXcomposite	0	0.4.4	14.el8	x86_64
libXcursor	0	1.1.15	3.el8	x86_64
libXdamage	0	1.1.4	14.el8	x86_64
libXdamage-devel	0	1.1.4	14.el8	x86_64
libXdmcp	0	1.1.3	1.el8	x86_64
libXext	0	1.3.4	1.el8	i686
libXext	0	1.3.4	1.el8	x86_64
libXext-devel	0	1.3.4	1.el8	x86_64
libXfixes	0	5.0.3	7.el8	x86_64
libXfixes-devel	0	5.0.3	7.el8	x86_64
libXfont2	0	2.0.3	2.el8	x86_64
libXft	0	2.3.3	1.el8	x86_64
libXi	0	1.7.10	1.el8	x86_64
libXi-devel	0	1.7.10	1.el8	x86_64
libXinerama	0	1.1.4	1.el8	x86_64
libXmu	0	1.1.3	1.el8	x86_64
libXmu-devel	0	1.1.3	1.el8	x86_64
libXp	0	1.0.3	3.el8	x86_64
libXpm	0	3.5.12	11.el8	x86_64
libXrandr	0	1.5.2	1.el8	x86_64
libXrender	0	0.9.10	7.el8	x86_64
libXres	0	1.2.0	4.el8	x86_64
libXt	0	1.1.5	12.el8	x86_64
libXt-devel	0	1.1.5	12.el8	x86_64
libXtst	0	1.2.3	7.el8	x86_64
libXv	0	1.0.11	7.el8	x86_64
libXvMC	0	1.0.12	1.el8	x86_64
libXxf86dga	0	1.1.5	1.el8	x86_64
libXxf86misc	0	1.0.4	1.el8	x86_64
libXxf86vm	0	1.1.4	9.el8	x86_64
libXxf86vm-devel	0	1.1.4	9.el8	x86_64
libacl	0	2.2.53	3.el8	i686
libacl	0	2.2.53	3.el8	x86_64
libaio	0	0.3.112	1.el8	x86_64
libarchive	0	3.3.3	5.el8	x86_64
libasan	0	8.5.0	26.el8_10	x86_64
libassuan	0	2.5.1	3.el8	x86_64
libasyncns	0	0.8	14.el8	x86_64
libatasmart	0	0.19	14.el8	x86_64
libatomic	0	8.5.0	26.el8_10	x86_64
libatomic_ops	0	7.6.2	3.el8	x86_64
libattr	0	2.4.48	3.el8	i686
libattr	0	2.4.48	3.el8	x86_64
libbabeltrace	0	1.5.4	4.el8	x86_64
libbasicobjects	0	0.1.1	40.el8	x86_64
libblkid	0	2.32.1	46.el8	x86_64
libblockdev	0	2.28	7.el8_10	x86_64
libblockdev-crypto	0	2.28	7.el8_10	x86_64
libblockdev-fs	0	2.28	7.el8_10	x86_64
libblockdev-loop	0	2.28	7.el8_10	x86_64
libblockdev-mdraid	0	2.28	7.el8_10	x86_64
libblockdev-part	0	2.28	7.el8_10	x86_64
libblockdev-swap	0	2.28	7.el8_10	x86_64
