seed,rank,cohort,day,n_tumors,observed_burden_min,observed_burden_max,observed_burden_cv,n_unique_predicted_burdens,predicted_burden_min,predicted_burden_max
seed391,6,4N,91,2,2423.025,3914.144,0.3327606874476926,1,4372.79236019634,4372.79236019634
seed264,7,2N,25,4,40.0,647.149,1.110882140241626,1,250.297600524976,250.297600524976
seed264,7,2N,28,4,125.44,379.906,0.3933106954199328,1,319.698442068384,319.698442068384
seed264,7,2N,32,4,274.4435,459.472,0.21806776180638365,1,435.457244660812,435.457244660812
seed264,7,2N,35,4,448.0,689.7,0.17582474317563862,1,543.442483882769,543.442483882769
seed264,7,2N,39,4,499.23,958.8125,0.2532672653679139,1,720.862930835416,720.862930835416
seed264,7,2N,42,4,741.576,1379.742,0.2610114229161311,1,880.056213231009,880.056213231009
seed264,7,2N,46,4,724.271,1335.1,0.3116863536745891,1,1120.8812631178,1120.8812631178
seed264,7,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1317.56316727775,1317.56316727775
seed264,7,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1599.39723673032,1599.39723673032
seed264,7,2N,56,4,1683.136,3375.352,0.3431351669384108,1,1826.43472339453,1826.43472339453
seed264,7,4N,35,2,73.2305,113.715,0.30625893089640327,1,77.648794214077,77.648794214077
seed264,7,4N,39,2,117.6,207.1035,0.389823526940302,1,98.4946667972156,98.4946667972156
seed264,7,4N,42,2,109.8,340.9175,0.7251759760864928,1,119.969179748524,119.969179748524
seed264,7,4N,46,3,13.95,471.3705,0.9196487047263852,1,160.128304667716,160.128304667716
seed264,7,4N,49,3,50.625,848.718,1.0268446308237722,1,202.550607825652,202.550607825652
seed264,7,4N,53,3,126.15,1079.09,0.9589750011682227,1,282.995853356697,282.995853356697
seed264,7,4N,56,4,95.506,1385.208,1.1107289031818546,1,367.517424333478,367.517424333478
seed264,7,4N,60,4,214.2425,1734.104,1.037838780607292,1,517.833173970055,517.833173970055
seed264,7,4N,63,4,312.05,1898.6355,0.9017640864164814,1,654.313598888613,654.313598888613
seed264,7,4N,67,4,452.824,2810.712,0.8612775705369408,1,862.84648337839,862.84648337839
seed264,7,4N,70,4,458.397,3139.0625,0.8437778961194023,1,1043.48978142008,1043.48978142008
seed264,7,4N,74,4,779.76,4139.96,0.7920665313577271,1,1327.93025835054,1327.93025835054
seed264,7,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1583.21432246717,1583.21432246717
seed264,7,4N,81,2,919.1375,1463.414,0.32306676601994117,1,1996.24324807467,1996.24324807467
