pair,rank,seed,optimizer_name,initial,final,abs_move
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,delta__buffer_smax,-0.005219492414379,-0.005219492414379,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,delta__log10_buffer_beta,-1.55518405233534,-1.56516848862279,0.009984436287449938
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,delta__log10_buffer_n_exp,-1.13016190617906,-1.13016190617906,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,delta__n_O,1.37320692760003,1.37320692760003,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,delta__log10_lam_max,-1.0028032418014,-1.0028032418014,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,delta__log10_p_mis_base,0.852653302570762,0.852653302570762,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,delta__log10_p_wgd,0.342609431840466,0.0506879655660769,0.2919214662743891
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,delta__gamma_mu,1.31652771655383,1.31652771655383,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_O2_crit,-0.153560015107474,-0.153560015107474,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_alpha_o2,0.101371914305943,0.101371914305943,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,gamma_growth,1.87124074243996,1.87124074243996,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_mu_hp,-1.54656298245412,-1.54656298245412,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_p_misseg,-1.13881643036999,-1.13881643036999,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_k_o_mis,-3.28161315880086,-3.28161315880086,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,buffer_smax,0.997390253792811,0.997390253792811,0.0
