pair,rank,seed,context,N,s_per_copy
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,10,seed295,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,10,seed295,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,10,seed295,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,10,seed295,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,1,seed472,vivo,44,0.7700259763031568
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,1,seed472,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,1,seed472,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,1,seed472,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,2,seed386,vivo,44,0.7700259763031568
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,2,seed386,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,2,seed386,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,2,seed386,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,3,seed494,vivo,44,0.7700259763031568
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,3,seed494,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,3,seed494,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,3,seed494,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,4,seed71,vivo,44,0.7700259763031568
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,4,seed71,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,4,seed71,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,4,seed71,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,5,seed178,vivo,44,0.7700259763031568
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,5,seed178,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,5,seed178,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,5,seed178,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,6,seed251,vivo,44,0.7700259763031568
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,6,seed251,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,6,seed251,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,6,seed251,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,7,seed53,vivo,44,0.7700259763031568
