fit,seed,rank,parameter,value,lower,upper,status
invivo,seed109,8,buffer_smax,0.923457999622951,0.0,1.0,interior
invivo,seed109,8,buffer_beta,0.275278674737665,0.01,10.0,interior
invivo,seed109,8,buffer_n_exp,10.0,0.1,10.0,upper
invivo,seed109,8,p_wgd,5.48401677228861e-05,1e-05,0.001,interior
invivo,seed109,8,o2_S0,3.25646670781546,2.0,5.0,interior
invivo,seed109,8,kappa_O,0.82957439313808,0.1,1.2,interior
invivo,seed109,8,eta_o2,1.0,1.0,2.0,lower
invivo,seed109,8,rho_2N,94231.8158889063,50000.0,500000.0,interior
invivo,seed109,8,alpha_o2,0.676131656107509,0.5,4.0,interior
invivo,seed109,8,gamma_growth,2.33646193559097,1.5,4.5,interior
invivo,seed109,8,mu_hp,0.0842840841033985,0.005,0.3,interior
invivo,seed109,8,gamma_mu,2.62363894285132,1.2,3.5,interior
invivo,seed109,8,O2_crit,0.1,0.1,2.5,lower
invivo,seed109,8,n_O,1.48317621414651,0.5,5.0,interior
invivo,seed109,8,k_clear,0.0153065284158414,0.005,0.3,interior
invivo,seed109,8,sigma_burden,0.15,0.1,0.15,upper
invivo,seed109,8,p_mis_base,0.0063183915603384,1e-06,0.1,interior
invivo,seed322,9,lam_max,0.246676660646755,0.005,0.3,interior
invivo,seed322,9,p_misseg,0.119402963709347,0.005,0.5,interior
invivo,seed322,9,k_o_mis,0.0042245534597161,0.001,0.02,interior
invivo,seed322,9,buffer_smax,0.901526352688421,0.0,1.0,interior
invivo,seed322,9,buffer_beta,0.126370833117348,0.01,10.0,interior
invivo,seed322,9,buffer_n_exp,10.0,0.1,10.0,upper
invivo,seed322,9,p_wgd,9.18052093716356e-05,1e-05,0.001,interior
invivo,seed322,9,o2_S0,3.9922265437415,2.0,5.0,interior
invivo,seed322,9,kappa_O,0.862506143288721,0.1,1.2,interior
invivo,seed322,9,eta_o2,1.00044278463732,1.0,2.0,interior
invivo,seed322,9,rho_2N,156658.941336418,50000.0,500000.0,interior
invivo,seed322,9,alpha_o2,0.50000009018371,0.5,4.0,lower
invivo,seed322,9,gamma_growth,2.54837815028773,1.5,4.5,interior
invivo,seed322,9,mu_hp,0.0517425924579758,0.005,0.3,interior
invivo,seed322,9,gamma_mu,2.55320667335387,1.2,3.5,interior
invivo,seed322,9,O2_crit,0.964966092977485,0.1,2.5,interior
invivo,seed322,9,n_O,3.67451194478828,0.5,5.0,interior
invivo,seed322,9,k_clear,0.0096607931231107,0.005,0.3,interior
invivo,seed322,9,sigma_burden,0.15,0.1,0.15,upper
invivo,seed322,9,p_mis_base,0.0116273646647229,1e-06,0.1,interior
invivo,seed26,10,lam_max,0.3,0.005,0.3,upper
invivo,seed26,10,p_misseg,0.5,0.005,0.5,upper
invivo,seed26,10,k_o_mis,0.0036714260351172,0.001,0.02,interior
invivo,seed26,10,buffer_smax,0.923211394186685,0.0,1.0,interior
invivo,seed26,10,buffer_beta,0.594297977015898,0.01,10.0,interior
