pair,rank,seed,context,O2,N,p_mis
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,1.0,44,0.29806151287192006
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,1.0,44,0.010230150908042992
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,1.0,88,0.447087700719321
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,1.0,88,0.010413038629623143
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,2.0,44,0.06867999016556865
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,2.0,44,0.009985645447202868
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,2.0,88,0.23833534741616516
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,2.0,88,0.010301281929881475
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,5.0,44,0.0040922226907918096
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,5.0,44,0.008687363467709094
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,5.0,88,0.022390713578200445
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,5.0,88,0.009653432987115464
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vivo,0.0,44,0.17727463644470093
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vitro,0.0,44,0.01032902314510469
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vivo,0.0,88,0.18541191457629327
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vitro,0.0,88,0.010459342235071957
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vivo,0.1,44,0.1734970449535083
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vitro,0.1,44,0.01032772086407285
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vivo,0.1,88,0.1847546166079586
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vitro,0.1,88,0.010458760937417468
