harvest	day	burden	cohort	dose	treat_day	harvest_day	included_under_config	objective_observed_day_max	burden_present	used_in_burden_loss
SUM159-4N-0-L_harvest	53	1079.09	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	56	1385.208	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	60	1734.104	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	63	1898.6355	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	67	2810.712	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	70	3139.0625	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	74	4139.96	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	77	5899.278	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-RL_harvest	0	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	25	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	28	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	32	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	35	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	39	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	42	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	46	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	49	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	53	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	56	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	60	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	63	0	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	67	29.6595	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	70	60.025	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	74	236.816	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	77	275.684	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	81	388.8	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	84	377.196	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	88	646.866	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	91	827.904	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	95	1318.2	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	98	2630.331	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RL_harvest	102	2761.011	4N	0	77	102	FALSE	102	TRUE	FALSE
SUM159-4N-0-RR_harvest	0	0	4N	0	53	91	TRUE	91	TRUE	FALSE
SUM159-4N-0-RR_harvest	25	0	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	28	0	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	32	0	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	35	0	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	39	0	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	42	0	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	46	13.95	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	49	50.625	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	53	126.15	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	56	209.484	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	60	217.728	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	63	312.05	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	67	452.824	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	70	458.397	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	74	779.76	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	77	856.3095	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	81	919.1375	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	84	1802.112	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	88	2044.224	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-RR_harvest	91	2423.025	4N	0	53	91	TRUE	91	TRUE	TRUE
SUM159-4N-30-0_harvest	0	0	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	25	0	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	28	0	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	32	0	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	35	113.724	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	39	196	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	42	221.3865	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	46	351.339	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	49	404.9415	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	53	513.422	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	56	492.993	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	60	548.352	4N	30	46	77	FALSE	77	TRUE	FALSE
SUM159-4N-30-0_harvest	63	941.7065	4N	30	46	77	FALSE	77	TRUE	FALSE
